Sno,Song,Artist,ArtistID,acousticness,danceability,liveness,loudness,speechiness,valence,energy,Cluster
139,Last Friday Night (T.G.I.F.),Katy Perry,22,0.00125,0.652,0.667,0.9003796507213366,0.0409,0.72,0.812,0
140,California Gurls (feat. Snoop Dogg),Katy Perry,22,0.00496,0.794,0.18,0.884738041002278,0.0514,0.447,0.743,1
141,Womanizer,Britney Spears,23,0.073,0.7240000000000001,0.0889,0.8569779802581627,0.0622,0.235,0.695,1
142,Circus,Britney Spears,23,0.147,0.7909999999999999,0.0713,0.8573120728929386,0.052000000000000005,0.7609999999999999,0.733,1
143,Out from Under,Britney Spears,23,0.379,0.5429999999999999,0.11199999999999999,0.6979195140470769,0.0352,0.384,0.46,2
144,Till the World Ends,Britney Spears,23,0.0228,0.693,0.20199999999999999,0.8411541381928627,0.0665,0.45,0.705,1
145,Hold It Against Me,Britney Spears,23,0.0103,0.648,0.24,0.8695216400911163,0.0427,0.389,0.722,1
146,Inside Out,Britney Spears,23,0.226,0.627,0.107,0.8439179954441915,0.0612,0.53,0.713,1
147,Tapp,3OH!3,24,0.0027600000000000003,0.865,0.36700000000000005,0.8150341685649205,0.36700000000000005,0.106,0.7979999999999999,1
148,Punkb*Tch,3OH!3,24,0.0147,0.593,0.145,0.9102505694760822,0.102,0.568,0.8320000000000001,3
149,Beaumont,3OH!3,24,0.0008349999999999999,0.503,0.149,0.7852088078967352,0.0528,0.156,0.457,3
150,I Can Do Anything,3OH!3,24,0.00247,0.54,0.368,0.8744115413819288,0.23600000000000002,0.43799999999999994,0.9059999999999999,0
151,My First Kiss (feat. Ke$ha),3OH!3,24,0.00587,0.68,0.28,0.8551252847380412,0.0768,0.841,0.861,1
152,Beaumont,3OH!3,24,0.0008349999999999999,0.503,0.149,0.7852088078967352,0.0528,0.156,0.457,3
153,I Can Do Anything,3OH!3,24,0.00247,0.54,0.368,0.8744115413819288,0.23600000000000002,0.43799999999999994,0.9059999999999999,0
154,My First Kiss (feat. Ke$ha),3OH!3,24,0.00587,0.68,0.28,0.8551252847380412,0.0768,0.841,0.861,1
155,Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,25,0.00704,0.6759999999999999,0.0542,0.9448747152619592,0.0493,0.204,0.991,1
156,Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta,25,0.00572,0.6679999999999999,0.358,0.9322399392558848,0.0334,0.648,0.8290000000000001,1
157,Turn Me On (feat. Nicki Minaj),David Guetta,25,0.006220000000000001,0.787,0.168,0.9589673500379653,0.0845,0.604,0.887,1
158,Dangerous (feat. Sam Martin),David Guetta,25,0.41700000000000004,0.466,0.107,0.8687623386484437,0.0795,0.43,0.747,2
159,What I Did For Love (feat. Emeli Sandé),David Guetta,25,0.107,0.494,0.11900000000000001,0.8682460136674262,0.0416,0.35600000000000004,0.721,3
160,No Money No Love (feat. Elliphant & Ms. Dynamite),David Guetta,25,0.0029,0.667,0.16699999999999998,0.9138344722854975,0.0583,0.457,0.8859999999999999,1
161,Sexy Bitch (feat. Akon),David Guetta,25,0.076,0.813,0.131,0.8632953682611999,0.0486,0.8009999999999999,0.627,1
162,Gettin' Over You (feat. Fergie & LMFAO),David Guetta,25,0.17800000000000002,0.616,0.0773,0.8615034168564922,0.0815,0.451,0.9129999999999999,1
163,Memories (feat. Kid Cudi),David Guetta,25,0.00147,0.546,0.251,0.8963097949886106,0.255,0.38,0.9159999999999999,3
164,Stripped Intro,Christina Aguilera,26,0.0696,0.29600000000000004,0.309,0.8185269552012151,0.0727,0.171,0.8270000000000001,3
165,Walk Away,Christina Aguilera,26,0.523,0.43200000000000005,0.608,0.8318602885345484,0.102,0.11599999999999999,0.42100000000000004,2
166,Lotus Intro,Christina Aguilera,26,0.10099999999999999,0.392,0.13,0.7273196659073654,0.044000000000000004,0.204,0.467,3
167,Army of Me,Christina Aguilera,26,0.0307,0.706,0.0827,0.877023538344723,0.0754,0.155,0.784,1
168,Red Hot Kinda Love,Christina Aguilera,26,0.00216,0.6920000000000001,0.0622,0.8963097949886106,0.0431,0.382,0.8,1
169,Dog Days Are Over,Florence + The Machine,27,0.0241,0.48700000000000004,0.115,0.8557934700075932,0.0935,0.188,0.838,3
170,Rabbit Heart (Raise It Up),Florence + The Machine,27,0.092,0.625,0.266,0.9099164768413062,0.0462,0.418,0.858,3
171,Only If for a Night,Florence + The Machine,27,0.0441,0.48200000000000004,0.0921,0.8338344722854976,0.0346,0.37799999999999995,0.727,3
172,Shake It Out,Florence + The Machine,27,0.122,0.5710000000000001,0.74,0.8781776765375856,0.0362,0.261,0.691,0
173,What the Water Gave Me,Florence + The Machine,27,0.006809999999999999,0.483,0.11199999999999999,0.8210174639331816,0.0316,0.187,0.5720000000000001,3
174,Ship To Wreck,Florence + The Machine,27,0.00147,0.564,0.27699999999999997,0.8989825360668188,0.0325,0.5870000000000001,0.9229999999999999,3
175,What Kind of Man,Florence + The Machine,27,0.0229,0.313,0.129,0.873682611996963,0.0431,0.22399999999999998,0.635,3
176,"How Big, How Blue, How Beautiful",Florence + The Machine,27,0.605,0.37200000000000005,0.177,0.8656340167046319,0.0324,0.0825,0.539,2
177,How Do You Do,Shakira,28,0.139,0.628,0.245,0.8741078208048597,0.065,0.43799999999999994,0.6859999999999999,3
178,Illegal (feat. Carlos Santana),Shakira,28,0.664,0.6729999999999999,0.115,0.7650113895216403,0.0428,0.594,0.414,2
179,Hips Don't Lie (feat. Wyclef Jean),Shakira,28,0.284,0.778,0.405,0.8367501898253609,0.0712,0.7559999999999999,0.8240000000000001,0
